classifier,sampler,np_a,np_b,fold,AUC,time
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,0,0.955,73.401
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,1,0.949,74.857
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,2,0.946,71.276
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],1,avg,0.95
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,0,0.948,232.07
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,1,0.943,230.65
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,2,0.926,219.252
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],1,avg,0.939
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.948,241.918
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.947,241.797
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.93,239.091
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.942
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.946,283.248
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.944,283.977
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.923,294.927
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.938
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.969,205.871
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.956,216.429
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.948,201.094
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.958
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,0,0.943,3.635
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,1,0.983,3.211
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,2,0.983,3.29
RandomForest,DummySampler,[1 2 4 6 8 10 12],1,avg,0.97
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,0,0.942,13.524
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,1,0.974,13.619
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,2,0.983,13.662
RandomForest,SMOTE,[1 2 4 6 8 10 12],1,avg,0.966
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.942,49.325
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.981,44.84
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.981,39.011
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.968
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.944,83.861
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.978,61.354
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.983,87.636
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.968
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.942,10.66
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.983,10.097
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.983,10.784
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.97
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,0,0.939,18.787
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,1,0.916,17.901
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,2,0.878,18.601
AdaBoost,DummySampler,[1 2 4 6 8 10 12],1,avg,0.911
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,0,0.918,52.141
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,1,0.914,77.33
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,2,0.847,62.578
AdaBoost,SMOTE,[1 2 4 6 8 10 12],1,avg,0.893
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,0,0.917,65.414
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,1,0.902,105.431
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,2,0.862,64.365
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],1,avg,0.894
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,0,0.914,98.264
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,1,0.895,92.429
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,2,0.846,96.968
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],1,avg,0.885
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,0,0.936,34.617
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,1,0.921,34.693
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,2,0.881,35.104
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],1,avg,0.913
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,0,0.946,49.254
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,1,0.881,48.848
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,2,0.922,54.125
GradientBoosting,DummySampler,[1 2 4 6 8 10 12],12,avg,0.916
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,0,0.929,155.59
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,1,0.889,152.387
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,2,0.892,155.333
GradientBoosting,SMOTE,[1 2 4 6 8 10 12],12,avg,0.904
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.929,176.704
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.889,177.277
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.896,178.308
GradientBoosting,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.905
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.928,209.47
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.891,204.477
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.887,207.231
GradientBoosting,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.902
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.957,140.923
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.895,140.561
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.924,152.104
GradientBoosting,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.926
RandomForest,DummySampler,[1 2 4 6 8 10 12],12,0,0.99,3.03
RandomForest,DummySampler,[1 2 4 6 8 10 12],12,1,0.97,2.459
RandomForest,DummySampler,[1 2 4 6 8 10 12],12,2,0.897,2.433
RandomForest,DummySampler,[1 2 4 6 8 10 12],12,avg,0.952
RandomForest,SMOTE,[1 2 4 6 8 10 12],12,0,0.988,11.249
RandomForest,SMOTE,[1 2 4 6 8 10 12],12,1,0.955,11.405
RandomForest,SMOTE,[1 2 4 6 8 10 12],12,2,0.892,11.314
RandomForest,SMOTE,[1 2 4 6 8 10 12],12,avg,0.945
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.986,37.807
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.959,34.274
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.887,37.93
RandomForest,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.944
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.987,64.815
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.947,79.697
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.888,83.184
RandomForest,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.941
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.99,9.45
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.97,8.963
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.901,9.312
RandomForest,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.954
AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,0,0.915,15.516
AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,1,0.86,14.64
AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,2,0.849,14.659
AdaBoost,DummySampler,[1 2 4 6 8 10 12],12,avg,0.875
AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,0,0.881,48.839
AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,1,0.845,43.608
AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,2,0.815,44.894
AdaBoost,SMOTE,[1 2 4 6 8 10 12],12,avg,0.847
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,0,0.884,71.513
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,1,0.844,70.835
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,2,0.818,72.569
AdaBoost,SMOTEENN,[1 2 4 6 8 10 12],12,avg,0.849
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,0,0.886,109.454
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,1,0.845,105.178
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,2,0.806,111.796
AdaBoost,SMOTETomek,[1 2 4 6 8 10 12],12,avg,0.846
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,0,0.916,44.945
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,1,0.863,41.542
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,2,0.849,34.776
AdaBoost,RandomOverSampler,[1 2 4 6 8 10 12],12,avg,0.876
GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],0,0.87,4.121
GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],1,0.835,4.144
GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],2,0.847,4.105
GradientBoosting,DummySampler,1,[1 2 4 6 8 10 12],avg,0.851
GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],0,0.876,12.39
GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],1,0.861,12.821
GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],2,0.858,12.156
GradientBoosting,SMOTE,1,[1 2 4 6 8 10 12],avg,0.865
GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.874,13.808
GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.867,13.928
GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.864,13.097
GradientBoosting,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.868
GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.866,15.168
GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.862,14.34
GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.867,14.625
GradientBoosting,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.865
GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.883,10.447
GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.88,10.397
GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.885,10.553
GradientBoosting,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.883
RandomForest,DummySampler,1,[1 2 4 6 8 10 12],0,0.802,0.351
RandomForest,DummySampler,1,[1 2 4 6 8 10 12],1,0.773,0.3
RandomForest,DummySampler,1,[1 2 4 6 8 10 12],2,0.833,0.312
RandomForest,DummySampler,1,[1 2 4 6 8 10 12],avg,0.802
RandomForest,SMOTE,1,[1 2 4 6 8 10 12],0,0.796,1.306
RandomForest,SMOTE,1,[1 2 4 6 8 10 12],1,0.81,1.183
RandomForest,SMOTE,1,[1 2 4 6 8 10 12],2,0.819,1.113
RandomForest,SMOTE,1,[1 2 4 6 8 10 12],avg,0.809
RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.835,2.092
RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.833,1.772
RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.852,1.837
RandomForest,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.84
RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.798,3.737
RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.818,2.719
RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.825,3.563
RandomForest,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.813
RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.815,0.669
RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.825,0.536
RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.838,0.522
RandomForest,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.826
AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],0,0.834,2.352
AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],1,0.835,2.292
AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],2,0.855,2.269
AdaBoost,DummySampler,1,[1 2 4 6 8 10 12],avg,0.842
AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],0,0.843,6.296
AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],1,0.816,6.398
AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],2,0.803,6.007
AdaBoost,SMOTE,1,[1 2 4 6 8 10 12],avg,0.821
AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],0,0.838,7.065
AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],1,0.821,7.122
AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],2,0.802,6.707
AdaBoost,SMOTEENN,1,[1 2 4 6 8 10 12],avg,0.82
AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],0,0.831,8.73
AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],1,0.815,7.917
AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],2,0.809,8.449
AdaBoost,SMOTETomek,1,[1 2 4 6 8 10 12],avg,0.818
AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],0,0.835,4.037
AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],1,0.832,4.047
AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],2,0.85,3.982
AdaBoost,RandomOverSampler,1,[1 2 4 6 8 10 12],avg,0.839
GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],0,0.859,5.216
GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],1,0.858,5.275
GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],2,0.861,5.275
GradientBoosting,DummySampler,12,[1 2 4 6 8 10 12],avg,0.859
GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],0,0.849,15.907
GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],1,0.879,16.529
GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],2,0.876,15.9
GradientBoosting,SMOTE,12,[1 2 4 6 8 10 12],avg,0.868
GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.852,17.395
GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.883,17.118
GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.869,17.363
GradientBoosting,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.868
GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.852,19.968
GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.877,18.216
GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.87,19.236
GradientBoosting,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.867
GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.866,13.304
GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.892,13.029
GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.895,12.983
GradientBoosting,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.884
RandomForest,DummySampler,12,[1 2 4 6 8 10 12],0,0.821,0.409
RandomForest,DummySampler,12,[1 2 4 6 8 10 12],1,0.825,0.386
RandomForest,DummySampler,12,[1 2 4 6 8 10 12],2,0.863,0.355
RandomForest,DummySampler,12,[1 2 4 6 8 10 12],avg,0.836
RandomForest,SMOTE,12,[1 2 4 6 8 10 12],0,0.767,1.493
RandomForest,SMOTE,12,[1 2 4 6 8 10 12],1,0.833,1.317
RandomForest,SMOTE,12,[1 2 4 6 8 10 12],2,0.842,1.341
RandomForest,SMOTE,12,[1 2 4 6 8 10 12],avg,0.814
RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.807,2.902
RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.857,2.153
RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.878,2.549
RandomForest,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.847
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.771,5.129
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.825,3.555
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.846,4.896
RandomForest,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.814
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.817,0.747
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.872,0.635
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.878,0.728
RandomForest,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.855
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],0,0.827,2.725
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],1,0.841,2.932
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],2,0.8,2.782
AdaBoost,DummySampler,12,[1 2 4 6 8 10 12],avg,0.823
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],0,0.826,7.816
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],1,0.817,8.05
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],2,0.812,7.267
AdaBoost,SMOTE,12,[1 2 4 6 8 10 12],avg,0.818
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],0,0.834,8.839
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],1,0.828,9.472
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],2,0.812,10.031
AdaBoost,SMOTEENN,12,[1 2 4 6 8 10 12],avg,0.825
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],0,0.831,12.151
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],1,0.822,10.966
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],2,0.795,13.318
AdaBoost,SMOTETomek,12,[1 2 4 6 8 10 12],avg,0.816
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],0,0.822,6.654
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],1,0.845,5.96
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],2,0.809,5.516
AdaBoost,RandomOverSampler,12,[1 2 4 6 8 10 12],avg,0.825
