training_systems	training_numprocs	testing_systems	testing_numprocs	classifier	sampler	split	roc-auc	time
3	24	3	1	RandomForest	DummySampler	2	0.764	0.237
3	24	3	1	RandomForest	DummySampler	avg	0.775
3	24	3	1	RandomForest	SMOTEENN	0	0.781	1.627
3	24	3	1	RandomForest	SMOTEENN	1	0.762	1.627
3	24	3	1	RandomForest	SMOTEENN	2	0.76	1.639
3	24	3	1	RandomForest	SMOTEENN	avg	0.768
3	24	3	1	RandomForest	SMOTETomek	0	0.783	2.197
3	24	3	1	RandomForest	SMOTETomek	1	0.776	2.162
3	24	3	1	RandomForest	SMOTETomek	2	0.766	2.21
3	24	3	1	RandomForest	SMOTETomek	avg	0.775
3	24	3	1	RandomForest	ADASYN	0	0.779	18.773
3	24	3	1	RandomForest	ADASYN	1	0.774	18.994
3	24	3	1	RandomForest	ADASYN	2	0.763	18.8
3	24	3	1	RandomForest	ADASYN	avg	0.772
3	24	3	1	GaussianNB	RandomOverSampler	0	0.485	0.039
3	24	3	1	GaussianNB	RandomOverSampler	1	0.494	0.04
3	24	3	1	GaussianNB	RandomOverSampler	2	0.506	0.042
3	24	3	1	GaussianNB	RandomOverSampler	avg	0.495
3	24	3	1	GaussianNB	SMOTE	0	0.488	0.177
3	24	3	1	GaussianNB	SMOTE	1	0.494	0.18
3	24	3	1	GaussianNB	SMOTE	2	0.506	0.178
3	24	3	1	GaussianNB	SMOTE	avg	0.496
3	24	3	1	GaussianNB	DummySampler	0	0.485	0.011
3	24	3	1	GaussianNB	DummySampler	1	0.496	0.011
3	24	3	1	GaussianNB	DummySampler	2	0.506	0.014
3	24	3	1	GaussianNB	DummySampler	avg	0.496
3	24	3	1	GaussianNB	SMOTEENN	0	0.486	0.88
3	24	3	1	GaussianNB	SMOTEENN	1	0.494	0.921
3	24	3	1	GaussianNB	SMOTEENN	2	0.504	0.962
3	24	3	1	GaussianNB	SMOTEENN	avg	0.495
3	24	3	1	GaussianNB	SMOTETomek	0	0.486	1.493
3	24	3	1	GaussianNB	SMOTETomek	1	0.494	1.538
3	24	3	1	GaussianNB	SMOTETomek	2	0.506	1.605
3	24	3	1	GaussianNB	SMOTETomek	avg	0.496
3	24	3	1	GaussianNB	ADASYN	0	0.486	18.535
3	24	3	1	GaussianNB	ADASYN	1	0.494	18.6
3	24	3	1	GaussianNB	ADASYN	2	0.507	18.278
3	24	3	1	GaussianNB	ADASYN	avg	0.496
3	24	3	1	DecisionTree	RandomOverSampler	0	0.78	0.266
3	24	3	1	DecisionTree	RandomOverSampler	1	0.762	0.258
3	24	3	1	DecisionTree	RandomOverSampler	2	0.764	0.239
3	24	3	1	DecisionTree	RandomOverSampler	avg	0.769
3	24	3	1	DecisionTree	SMOTE	0	0.775	0.646
3	24	3	1	DecisionTree	SMOTE	1	0.764	0.649
3	24	3	1	DecisionTree	SMOTE	2	0.763	0.664
3	24	3	1	DecisionTree	SMOTE	avg	0.767
3	24	3	1	DecisionTree	DummySampler	0	0.776	0.11
3	24	3	1	DecisionTree	DummySampler	1	0.763	0.109
3	24	3	1	DecisionTree	DummySampler	2	0.755	0.119
3	24	3	1	DecisionTree	DummySampler	avg	0.765
3	24	3	1	DecisionTree	SMOTEENN	0	0.768	1.519
3	24	3	1	DecisionTree	SMOTEENN	1	0.757	1.392
3	24	3	1	DecisionTree	SMOTEENN	2	0.761	1.469
3	24	3	1	DecisionTree	SMOTEENN	avg	0.762
3	24	3	1	DecisionTree	SMOTETomek	0	0.775	2.014
3	24	3	1	DecisionTree	SMOTETomek	1	0.763	1.968
3	24	3	1	DecisionTree	SMOTETomek	2	0.762	2.012
3	24	3	1	DecisionTree	SMOTETomek	avg	0.767
3	24	3	1	DecisionTree	ADASYN	0	0.777	18.446
3	24	3	1	DecisionTree	ADASYN	1	0.765	18.612
3	24	3	1	DecisionTree	ADASYN	2	0.764	18.511
3	24	3	1	DecisionTree	ADASYN	avg	0.769
3	24	3	1	LogisticRegression	RandomOverSampler	0	0.488	0.076
3	24	3	1	LogisticRegression	RandomOverSampler	1	0.498	0.072
3	24	3	1	LogisticRegression	RandomOverSampler	2	0.5	0.071
3	24	3	1	LogisticRegression	RandomOverSampler	avg	0.495
3	24	3	1	LogisticRegression	SMOTE	0	0.488	0.212
3	24	3	1	LogisticRegression	SMOTE	1	0.498	0.215
3	24	3	1	LogisticRegression	SMOTE	2	0.5	0.203
3	24	3	1	LogisticRegression	SMOTE	avg	0.495
3	24	3	1	LogisticRegression	DummySampler	0	0.512	0.031
3	24	3	1	LogisticRegression	DummySampler	1	0.502	0.037
3	24	3	1	LogisticRegression	DummySampler	2	0.5	0.035
3	24	3	1	LogisticRegression	DummySampler	avg	0.505
3	24	3	1	LogisticRegression	SMOTEENN	0	0.488	0.927
3	24	3	1	LogisticRegression	SMOTEENN	1	0.498	0.952
3	24	3	1	LogisticRegression	SMOTEENN	2	0.5	0.97
3	24	3	1	LogisticRegression	SMOTEENN	avg	0.495
3	24	3	1	LogisticRegression	SMOTETomek	0	0.488	1.563
3	24	3	1	LogisticRegression	SMOTETomek	1	0.498	1.518
3	24	3	1	LogisticRegression	SMOTETomek	2	0.5	1.601
3	24	3	1	LogisticRegression	SMOTETomek	avg	0.495
3	24	3	1	LogisticRegression	ADASYN	0	0.488	18.366
3	24	3	1	LogisticRegression	ADASYN	1	0.498	18.584
3	24	3	1	LogisticRegression	ADASYN	2	0.5	18.241
3	24	3	1	LogisticRegression	ADASYN	avg	0.495
3	24	3	1	MLP	RandomOverSampler	0	0.519	1.058
3	24	3	1	MLP	RandomOverSampler	1	0.541	0.696
3	24	3	1	MLP	RandomOverSampler	2	0.522	1.309
3	24	3	1	MLP	RandomOverSampler	avg	0.527
3	24	3	1	MLP	SMOTE	0	0.492	0.974
3	24	3	1	MLP	SMOTE	1	0.551	0.983
3	24	3	1	MLP	SMOTE	2	0.487	0.972
3	24	3	1	MLP	SMOTE	avg	0.51
3	24	3	1	MLP	DummySampler	0	0.494	0.837
3	24	3	1	MLP	DummySampler	1	0.457	0.686
3	24	3	1	MLP	DummySampler	2	0.497	0.446
3	24	3	1	MLP	DummySampler	avg	0.483
3	24	3	1	MLP	SMOTEENN	0	0.56	2.013
3	24	3	1	MLP	SMOTEENN	1	0.471	1.977
3	24	3	1	MLP	SMOTEENN	2	0.491	1.591
3	24	3	1	MLP	SMOTEENN	avg	0.508
3	24	3	1	MLP	SMOTETomek	0	0.541	2.331
3	24	3	1	MLP	SMOTETomek	1	0.459	2.473
3	24	3	1	MLP	SMOTETomek	2	0.487	2.215
3	24	3	1	MLP	SMOTETomek	avg	0.496
3	24	3	1	MLP	ADASYN	0	0.554	19.197
3	24	3	1	MLP	ADASYN	1	0.513	19.416
3	24	3	1	MLP	ADASYN	2	0.476	19.554
3	24	3	1	MLP	ADASYN	avg	0.514
3	24	3	1	AdaBoost	RandomOverSampler	0	0.74	2.553
3	24	3	1	AdaBoost	RandomOverSampler	1	0.736	2.162
3	24	3	1	AdaBoost	RandomOverSampler	2	0.737	2.144
3	24	3	1	AdaBoost	RandomOverSampler	avg	0.738
3	24	3	1	AdaBoost	SMOTE	0	0.691	3.4
3	24	3	1	AdaBoost	SMOTE	1	0.695	3.415
3	24	3	1	AdaBoost	SMOTE	2	0.706	3.404
3	24	3	1	AdaBoost	SMOTE	avg	0.697
3	24	3	1	AdaBoost	DummySampler	0	0.748	1.032
3	24	3	1	AdaBoost	DummySampler	1	0.737	1.031
3	24	3	1	AdaBoost	DummySampler	2	0.736	1.048
3	24	3	1	AdaBoost	DummySampler	avg	0.74
3	24	3	1	AdaBoost	SMOTEENN	0	0.699	4.013
3	24	3	1	AdaBoost	SMOTEENN	1	0.689	4.016
3	24	3	1	AdaBoost	SMOTEENN	2	0.716	4.049
3	24	3	1	AdaBoost	SMOTEENN	avg	0.702
3	24	3	1	AdaBoost	SMOTETomek	0	0.692	4.764
3	24	3	1	AdaBoost	SMOTETomek	1	0.69	4.678
3	24	3	1	AdaBoost	SMOTETomek	2	0.711	4.766
3	24	3	1	AdaBoost	SMOTETomek	avg	0.698
3	24	3	1	AdaBoost	ADASYN	0	0.772	20.623
3	24	3	1	AdaBoost	ADASYN	1	0.752	21.202
3	24	3	1	AdaBoost	ADASYN	2	0.757	20.626
3	24	3	1	AdaBoost	ADASYN	avg	0.76
3	24	3	1	KNN	RandomOverSampler	0	0.773	0.187
3	24	3	1	KNN	RandomOverSampler	1	0.733	0.195
3	24	3	1	KNN	RandomOverSampler	2	0.759	0.195
3	24	3	1	KNN	RandomOverSampler	avg	0.755
3	24	3	1	KNN	SMOTE	0	0.776	0.325
3	24	3	1	KNN	SMOTE	1	0.758	0.332
3	24	3	1	KNN	SMOTE	2	0.766	0.34
3	24	3	1	KNN	SMOTE	avg	0.767
3	24	3	1	KNN	DummySampler	0	0.762	0.078
3	24	3	1	KNN	DummySampler	1	0.735	0.088
3	24	3	1	KNN	DummySampler	2	0.761	0.09
3	24	3	1	KNN	DummySampler	avg	0.753
3	24	3	1	KNN	SMOTEENN	0	0.77	1.042
3	24	3	1	KNN	SMOTEENN	1	0.746	1.058
3	24	3	1	KNN	SMOTEENN	2	0.758	1.094
3	24	3	1	KNN	SMOTEENN	avg	0.758
3	24	3	1	KNN	SMOTETomek	0	0.769	1.646
3	24	3	1	KNN	SMOTETomek	1	0.758	1.604
3	24	3	1	KNN	SMOTETomek	2	0.767	1.656
3	24	3	1	KNN	SMOTETomek	avg	0.765
3	24	3	1	KNN	ADASYN	0	0.781	18.319
3	24	3	1	KNN	ADASYN	1	0.755	18.53
3	24	3	1	KNN	ADASYN	2	0.759	18.109
3	24	3	1	KNN	ADASYN	avg	0.765
3	24	3	1	GradientBoosting	ADASYN	best_avg	0.798
3	24	3	24	GradientBoosting	RandomOverSampler	0	0.88	6.439
3	24	3	24	GradientBoosting	RandomOverSampler	1	0.879	6.457
3	24	3	24	GradientBoosting	RandomOverSampler	2	0.875	6.442
3	24	3	24	GradientBoosting	RandomOverSampler	avg	0.878
3	24	3	24	GradientBoosting	SMOTE	0	0.887	7.752
3	24	3	24	GradientBoosting	SMOTE	1	0.894	7.884
3	24	3	24	GradientBoosting	SMOTE	2	0.889	7.993
3	24	3	24	GradientBoosting	SMOTE	avg	0.89
3	24	3	24	GradientBoosting	DummySampler	0	0.869	2.48
3	24	3	24	GradientBoosting	DummySampler	1	0.867	2.503
3	24	3	24	GradientBoosting	DummySampler	2	0.869	2.509
3	24	3	24	GradientBoosting	DummySampler	avg	0.869
3	24	3	24	GradientBoosting	SMOTEENN	0	0.882	7.845
3	24	3	24	GradientBoosting	SMOTEENN	1	0.896	8.0
3	24	3	24	GradientBoosting	SMOTEENN	2	0.895	8.063
3	24	3	24	GradientBoosting	SMOTEENN	avg	0.891
3	24	3	24	GradientBoosting	SMOTETomek	0	0.882	9.029
3	24	3	24	GradientBoosting	SMOTETomek	1	0.889	9.098
3	24	3	24	GradientBoosting	SMOTETomek	2	0.887	9.173
3	24	3	24	GradientBoosting	SMOTETomek	avg	0.886
3	24	3	24	GradientBoosting	ADASYN	0	0.886	24.494
3	24	3	24	GradientBoosting	ADASYN	1	0.884	23.856
3	24	3	24	GradientBoosting	ADASYN	2	0.881	24.654
3	24	3	24	GradientBoosting	ADASYN	avg	0.884
3	24	3	24	RandomForest	RandomOverSampler	0	0.96	0.466
3	24	3	24	RandomForest	RandomOverSampler	1	0.957	0.48
3	24	3	24	RandomForest	RandomOverSampler	2	0.956	0.457
3	24	3	24	RandomForest	RandomOverSampler	avg	0.958
3	24	3	24	RandomForest	SMOTE	0	0.959	0.938
3	24	3	24	RandomForest	SMOTE	1	0.956	0.903
3	24	3	24	RandomForest	SMOTE	2	0.949	0.919
3	24	3	24	RandomForest	SMOTE	avg	0.955
3	24	3	24	RandomForest	DummySampler	0	0.954	0.225
3	24	3	24	RandomForest	DummySampler	1	0.956	0.224
3	24	3	24	RandomForest	DummySampler	2	0.953	0.233
3	24	3	24	RandomForest	DummySampler	avg	0.954
3	24	3	24	RandomForest	SMOTEENN	0	0.952	1.552
3	24	3	24	RandomForest	SMOTEENN	1	0.949	1.614
3	24	3	24	RandomForest	SMOTEENN	2	0.948	1.609
3	24	3	24	RandomForest	SMOTEENN	avg	0.949
3	24	3	24	RandomForest	SMOTETomek	0	0.954	2.207
3	24	3	24	RandomForest	SMOTETomek	1	0.959	2.181
3	24	3	24	RandomForest	SMOTETomek	2	0.953	2.299
3	24	3	24	RandomForest	SMOTETomek	avg	0.955
3	24	3	24	RandomForest	ADASYN	0	0.959	19.122
3	24	3	24	RandomForest	ADASYN	1	0.961	18.605
3	24	3	24	RandomForest	ADASYN	2	0.948	18.994
3	24	3	24	RandomForest	ADASYN	avg	0.956
3	24	3	24	GaussianNB	RandomOverSampler	0	0.493	0.039
3	24	3	24	GaussianNB	RandomOverSampler	1	0.502	0.04
3	24	3	24	GaussianNB	RandomOverSampler	2	0.508	0.043
3	24	3	24	GaussianNB	RandomOverSampler	avg	0.501
3	24	3	24	GaussianNB	SMOTE	0	0.493	0.173
3	24	3	24	GaussianNB	SMOTE	1	0.5	0.177
3	24	3	24	GaussianNB	SMOTE	2	0.507	0.176
3	24	3	24	GaussianNB	SMOTE	avg	0.5
3	24	3	24	GaussianNB	DummySampler	0	0.493	0.012
3	24	3	24	GaussianNB	DummySampler	1	0.502	0.012
3	24	3	24	GaussianNB	DummySampler	2	0.508	0.015
3	24	3	24	GaussianNB	DummySampler	avg	0.501
3	24	3	24	GaussianNB	SMOTEENN	0	0.493	0.855
3	24	3	24	GaussianNB	SMOTEENN	1	0.499	0.88
3	24	3	24	GaussianNB	SMOTEENN	2	0.507	0.938
3	24	3	24	GaussianNB	SMOTEENN	avg	0.499
3	24	3	24	GaussianNB	SMOTETomek	0	0.493	1.416
3	24	3	24	GaussianNB	SMOTETomek	1	0.5	1.468
3	24	3	24	GaussianNB	SMOTETomek	2	0.507	1.495
3	24	3	24	GaussianNB	SMOTETomek	avg	0.5
3	24	3	24	GaussianNB	ADASYN	0	0.491	19.008
3	24	3	24	GaussianNB	ADASYN	1	0.5	18.421
3	24	3	24	GaussianNB	ADASYN	2	0.507	18.809
3	24	3	24	GaussianNB	ADASYN	avg	0.499
3	24	3	24	DecisionTree	RandomOverSampler	0	0.954	0.254
3	24	3	24	DecisionTree	RandomOverSampler	1	0.951	0.267
3	24	3	24	DecisionTree	RandomOverSampler	2	0.952	0.256
3	24	3	24	DecisionTree	RandomOverSampler	avg	0.952
3	24	3	24	DecisionTree	SMOTE	0	0.955	0.646
3	24	3	24	DecisionTree	SMOTE	1	0.951	0.627
3	24	3	24	DecisionTree	SMOTE	2	0.952	0.667
3	24	3	24	DecisionTree	SMOTE	avg	0.953
3	24	3	24	DecisionTree	DummySampler	0	0.955	0.11
3	24	3	24	DecisionTree	DummySampler	1	0.951	0.124
3	24	3	24	DecisionTree	DummySampler	2	0.953	0.119
3	24	3	24	DecisionTree	DummySampler	avg	0.953
3	24	3	24	DecisionTree	SMOTEENN	0	0.94	1.397
3	24	3	24	DecisionTree	SMOTEENN	1	0.935	1.407
3	24	3	24	DecisionTree	SMOTEENN	2	0.936	1.454
3	24	3	24	DecisionTree	SMOTEENN	avg	0.937
3	24	3	24	DecisionTree	SMOTETomek	0	0.955	1.895
3	24	3	24	DecisionTree	SMOTETomek	1	0.95	1.938
3	24	3	24	DecisionTree	SMOTETomek	2	0.952	2.007
3	24	3	24	DecisionTree	SMOTETomek	avg	0.952
3	24	3	24	DecisionTree	ADASYN	0	0.956	19.204
3	24	3	24	DecisionTree	ADASYN	1	0.95	18.866
3	24	3	24	DecisionTree	ADASYN	2	0.951	19.386
3	24	3	24	DecisionTree	ADASYN	avg	0.952
3	24	3	24	LogisticRegression	RandomOverSampler	0	0.488	0.082
3	24	3	24	LogisticRegression	RandomOverSampler	1	0.499	0.089
3	24	3	24	LogisticRegression	RandomOverSampler	2	0.5	0.087
3	24	3	24	LogisticRegression	RandomOverSampler	avg	0.496
3	24	3	24	LogisticRegression	SMOTE	0	0.488	0.219
3	24	3	24	LogisticRegression	SMOTE	1	0.499	0.219
3	24	3	24	LogisticRegression	SMOTE	2	0.5	0.22
3	24	3	24	LogisticRegression	SMOTE	avg	0.496
3	24	3	24	LogisticRegression	DummySampler	0	0.512	0.034
3	24	3	24	LogisticRegression	DummySampler	1	0.501	0.038
3	24	3	24	LogisticRegression	DummySampler	2	0.499	0.039
3	24	3	24	LogisticRegression	DummySampler	avg	0.504
3	24	3	24	LogisticRegression	SMOTEENN	0	0.488	0.904
3	24	3	24	LogisticRegression	SMOTEENN	1	0.499	0.928
3	24	3	24	LogisticRegression	SMOTEENN	2	0.5	0.954
3	24	3	24	LogisticRegression	SMOTEENN	avg	0.496
3	24	3	24	LogisticRegression	SMOTETomek	0	0.488	1.515
3	24	3	24	LogisticRegression	SMOTETomek	1	0.499	1.614
3	24	3	24	LogisticRegression	SMOTETomek	2	0.5	1.59
3	24	3	24	LogisticRegression	SMOTETomek	avg	0.496
3	24	3	24	LogisticRegression	ADASYN	0	0.488	18.974
3	24	3	24	LogisticRegression	ADASYN	1	0.499	18.516
3	24	3	24	LogisticRegression	ADASYN	2	0.501	18.895
3	24	3	24	LogisticRegression	ADASYN	avg	0.496
3	24	3	24	MLP	RandomOverSampler	0	0.522	0.842
3	24	3	24	MLP	RandomOverSampler	1	0.506	1.012
3	24	3	24	MLP	RandomOverSampler	2	0.515	0.7
3	24	3	24	MLP	RandomOverSampler	avg	0.514
3	24	3	24	MLP	SMOTE	0	0.419	1.462
3	24	3	24	MLP	SMOTE	1	0.55	1.313
3	24	3	24	MLP	SMOTE	2	0.506	1.485
3	24	3	24	MLP	SMOTE	avg	0.491
3	24	3	24	MLP	DummySampler	0	0.493	0.519
3	24	3	24	MLP	DummySampler	1	0.486	0.872
3	24	3	24	MLP	DummySampler	2	0.505	1.11
3	24	3	24	MLP	DummySampler	avg	0.495
3	24	3	24	MLP	SMOTEENN	0	0.445	1.672
3	24	3	24	MLP	SMOTEENN	1	0.483	1.692
3	24	3	24	MLP	SMOTEENN	2	0.52	2.005
3	24	3	24	MLP	SMOTEENN	avg	0.482
3	24	3	24	MLP	SMOTETomek	0	0.505	2.083
3	24	3	24	MLP	SMOTETomek	1	0.529	2.662
3	24	3	24	MLP	SMOTETomek	2	0.521	2.822
3	24	3	24	MLP	SMOTETomek	avg	0.519
3	24	3	24	MLP	ADASYN	0	0.431	19.57
3	24	3	24	MLP	ADASYN	1	0.502	19.242
3	24	3	24	MLP	ADASYN	2	0.5	19.669
3	24	3	24	MLP	ADASYN	avg	0.478
3	24	3	24	AdaBoost	RandomOverSampler	0	0.843	2.133
3	24	3	24	AdaBoost	RandomOverSampler	1	0.849	2.159
3	24	3	24	AdaBoost	RandomOverSampler	2	0.835	2.179
3	24	3	24	AdaBoost	RandomOverSampler	avg	0.842
3	24	3	24	AdaBoost	SMOTE	0	0.823	3.396
3	24	3	24	AdaBoost	SMOTE	1	0.822	3.387
3	24	3	24	AdaBoost	SMOTE	2	0.802	3.395
3	24	3	24	AdaBoost	SMOTE	avg	0.816
3	24	3	24	AdaBoost	DummySampler	0	0.848	1.044
3	24	3	24	AdaBoost	DummySampler	1	0.848	1.048
3	24	3	24	AdaBoost	DummySampler	2	0.836	1.062
3	24	3	24	AdaBoost	DummySampler	avg	0.844
3	24	3	24	AdaBoost	SMOTEENN	0	0.822	4.0
3	24	3	24	AdaBoost	SMOTEENN	1	0.822	3.996
3	24	3	24	AdaBoost	SMOTEENN	2	0.809	4.023
3	24	3	24	AdaBoost	SMOTEENN	avg	0.818
3	24	3	24	AdaBoost	SMOTETomek	0	0.817	4.749
3	24	3	24	AdaBoost	SMOTETomek	1	0.816	4.708
3	24	3	24	AdaBoost	SMOTETomek	2	0.795	4.793
3	24	3	24	AdaBoost	SMOTETomek	avg	0.81
3	24	3	24	AdaBoost	ADASYN	0	0.851	21.003
3	24	3	24	AdaBoost	ADASYN	1	0.835	20.622
3	24	3	24	AdaBoost	ADASYN	2	0.84	21.449
3	24	3	24	AdaBoost	ADASYN	avg	0.842
3	24	3	24	KNN	RandomOverSampler	0	0.945	0.208
3	24	3	24	KNN	RandomOverSampler	1	0.939	0.217
3	24	3	24	KNN	RandomOverSampler	2	0.929	0.211
3	24	3	24	KNN	RandomOverSampler	avg	0.938
3	24	3	24	KNN	SMOTE	0	0.951	0.342
3	24	3	24	KNN	SMOTE	1	0.942	0.344
3	24	3	24	KNN	SMOTE	2	0.942	0.36
3	24	3	24	KNN	SMOTE	avg	0.945
3	24	3	24	KNN	DummySampler	0	0.951	0.099
3	24	3	24	KNN	DummySampler	1	0.945	0.1
3	24	3	24	KNN	DummySampler	2	0.942	0.111
3	24	3	24	KNN	DummySampler	avg	0.946
3	24	3	24	KNN	SMOTEENN	0	0.94	1.039
3	24	3	24	KNN	SMOTEENN	1	0.935	1.055
3	24	3	24	KNN	SMOTEENN	2	0.932	1.081
3	24	3	24	KNN	SMOTEENN	avg	0.936
3	24	3	24	KNN	SMOTETomek	0	0.947	1.6
3	24	3	24	KNN	SMOTETomek	1	0.947	1.644
3	24	3	24	KNN	SMOTETomek	2	0.928	1.703
3	24	3	24	KNN	SMOTETomek	avg	0.94
3	24	3	24	KNN	ADASYN	0	0.947	19.191
3	24	3	24	KNN	ADASYN	1	0.935	18.529
3	24	3	24	KNN	ADASYN	2	0.937	19.043
3	24	3	24	KNN	ADASYN	avg	0.94
3	24	3	24	RandomForest	RandomOverSampler	best_avg	0.958
